date,CPI monthly year-on-year
2009-01,0.0095 
2009-02,-0.0156 
2009-03,-0.0117 
2009-04,-0.0150 
2009-05,-0.0137 
2009-06,-0.0170 
2009-07,-0.0181 
2009-08,-0.0120 
2009-09,-0.0079 
2009-10,-0.0053 
2009-11,0.0056 
2009-12,0.0186 
2010-01,0.0153 
2010-02,0.0270 
2010-03,0.0237 
2010-04,0.0281 
2010-05,0.0306 
2010-06,0.0295 
2010-07,0.0330 
2010-08,0.0348 
2010-09,0.0361 
2010-10,0.0437 
2010-11,0.0512 
2010-12,0.0459 
2011-01,0.0491 
2011-02,0.0494 
2011-03,0.0538 
2011-04,0.0534 
2011-05,0.0551 
2011-06,0.0636 
2011-07,0.0645 
2011-08,0.0615 
2011-09,0.0607 
2011-10,0.0550 
2011-11,0.0422 
2011-12,0.0407 
2012-01,0.0455 
2012-02,0.0316 
2012-03,0.0359 
2012-04,0.0337 
2012-05,0.0300 
2012-06,0.0215 
2012-07,0.0180 
2012-08,0.0200 
2012-09,0.0190 
2012-10,0.0170 
2012-11,0.0200 
2012-12,0.0250 
2013-01,0.0200 
2013-02,0.0320 
2013-03,0.0210 
2013-04,0.0240 
2013-05,0.0210 
2013-06,0.0270 
2013-07,0.0270 
2013-08,0.0260 
2013-09,0.0310 
2013-10,0.0320 
2013-11,0.0300 
2013-12,0.0250 
2014-01,0.0250 
2014-02,0.0200 
2014-03,0.0240 
2014-04,0.0180 
2014-05,0.0250 
2014-06,0.0230 
2014-07,0.0230 
2014-08,0.0200 
2014-09,0.0160 
2014-10,0.0160 
2014-11,0.0140 
2014-12,0.0150 
2015-01,0.0080 
2015-02,0.0140 
2015-03,0.0140 
2015-04,0.0150 
2015-05,0.0120 
2015-06,0.0140 
2015-07,0.0160 
2015-08,0.0200 
2015-09,0.0160 
2015-10,0.0130 
2015-11,0.0150 
2015-12,0.0160 
2016-01,0.0180 
2016-02,0.0230 
2016-03,0.0230 
2016-04,0.0230 
2016-05,0.0200 
2016-06,0.0190 
2016-07,0.0180 
2016-08,0.0130 
2016-09,0.0190 
2016-10,0.0210 
2016-11,0.0230 
2016-12,0.0210 
2017-01,0.0250 
2017-02,0.0080 
2017-03,0.0090 
2017-04,0.0120 
2017-05,0.0150 
2017-06,0.0150 
2017-07,0.0140 
2017-08,0.0180 
2017-09,0.0160 
2017-10,0.0190 
2017-11,0.0170 
2017-12,0.0180 
2018-01,0.0150 
2018-02,0.0290 
2018-03,0.0210 
2018-04,0.0180 
2018-05,0.0180 
2018-06,0.0190 
2018-07,0.0210 
2018-08,0.0230 
2018-09,0.0250 
2018-10,0.0250 
2018-11,0.0220 
2018-12,0.0190 
2019-01,0.0170 
2019-02,0.0150 
2019-03,0.0230 
2019-04,0.0250 
2019-05,0.0270 
2019-06,0.0270 
2019-07,0.0280 
2019-08,0.0280 
2019-09,0.0300 
2019-10,0.0380 
2019-11,0.0450 
2019-12,0.0450 
2020-01,0.0540 
2020-02,0.0520 
2020-03,0.0430 
2020-04,0.0330 
2020-05,0.0240 
2020-06,0.0250 
2020-07,0.0270 
2020-08,0.0240 
2020-09,0.0170 
2020-10,0.0050 
2020-11,-0.0050 
2020-12,0.0020 
2021-01,-0.0030 
2021-02,-0.0020 
2021-03,0.0040 
2021-04,0.0090 
2021-05,0.0130 
2021-06,0.0110 
2021-07,0.0100 
2021-08,0.0080 
2021-09,0.0070 
2021-10,0.0150 
2021-11,0.0230 
2021-12,0.0150 
