date,first-tier,second-tier,third-tier
2010-06,20799.50 ,8637.86 ,6396.15 
2010-07,20587.50 ,8590.50 ,6368.00 
2010-08,20390.00 ,8605.64 ,6395.42 
2010-09,20774.50 ,8720.14 ,6459.81 
2010-10,21037.00 ,8776.91 ,6502.55 
2010-11,21161.50 ,8896.73 ,6591.43 
2010-12,21296.50 ,9028.00 ,6667.89 
2011-01,21557.00 ,9175.05 ,6753.07 
2011-02,21739.00 ,9257.64 ,6814.35 
2011-03,21802.75 ,9351.23 ,6873.32 
2011-04,21948.25 ,9405.18 ,6928.91 
2011-05,22142.00 ,9431.23 ,7005.51 
2011-06,22218.50 ,9492.32 ,7052.92 
2011-07,22348.50 ,9513.41 ,7084.05 
2011-08,22347.00 ,9500.36 ,7119.26 
2011-09,22346.00 ,9478.45 ,7126.50 
2011-10,22293.25 ,9459.59 ,7121.89 
2011-11,22233.00 ,9382.36 ,7114.76 
2011-12,22123.75 ,9375.36 ,7096.61 
2012-01,22101.00 ,9349.86 ,7099.30 
2012-02,22035.00 ,9284.73 ,7055.72 
2012-03,22042.75 ,9239.05 ,7039.59 
2012-04,21899.00 ,9217.68 ,7007.99 
2012-05,21829.75 ,9167.77 ,6959.93 
2012-06,22070.50 ,9188.86 ,6942.09 
2012-07,22101.00 ,9248.14 ,6945.34 
2012-08,22188.00 ,9279.14 ,6948.18 
2012-09,22237.75 ,9316.09 ,6953.57 
2012-10,22347.00 ,9316.36 ,6960.07 
2012-11,22415.75 ,9373.77 ,6960.49 
2012-12,22604.25 ,9405.68 ,6889.72 
2013-01,23109.25 ,9445.32 ,6896.09 
2013-02,23501.00 ,9515.41 ,6929.32 
2013-03,23922.00 ,9621.50 ,6970.55 
2013-04,24357.00 ,9706.50 ,7022.62 
2013-05,24705.50 ,9770.86 ,7071.58 
2013-06,25067.00 ,9860.50 ,7099.77 
2013-07,25474.75 ,9960.55 ,7130.04 
2013-08,25944.75 ,10030.27 ,7156.76 
2013-09,26587.00 ,10103.45 ,7205.81 
2013-10,27204.75 ,10192.18 ,7227.04 
2013-11,27519.50 ,10283.41 ,7244.76 
2013-12,27903.25 ,10364.82 ,7242.54 
2014-01,28225.00 ,10370.09 ,7257.16 
2014-02,28563.25 ,10392.73 ,7248.05 
2014-03,28765.00 ,10438.09 ,7245.45 
2014-04,28858.25 ,10435.18 ,7240.66 
2014-05,28814.00 ,10398.64 ,7202.97 
2014-06,28639.00 ,10317.68 ,7155.64 
2014-07,28356.00 ,10236.95 ,7104.97 
2014-08,28273.50 ,10143.23 ,7064.97 
2014-09,28023.50 ,10067.50 ,7003.19 
2014-10,28004.75 ,10013.64 ,6949.85 
2014-11,28085.75 ,9958.68 ,6887.19 
2014-12,28064.50 ,9921.00 ,6840.12 
2015-01,28283.00 ,9924.09 ,6824.32 
2015-02,28259.00 ,9889.82 ,6795.50 
2015-03,28267.50 ,9855.50 ,6790.91 
2015-04,28380.00 ,9842.86 ,6773.46 
2015-05,28800.25 ,9867.14 ,6749.64 
2015-06,29516.25 ,9893.50 ,6749.00 
2015-07,30564.00 ,9902.27 ,6739.22 
2015-08,31084.25 ,9924.27 ,6741.68 
2015-09,31396.75 ,9907.50 ,6761.53 
2015-10,31854.25 ,9885.45 ,6765.03 
2015-11,32302.00 ,9921.73 ,6737.15 
2015-12,32891.25 ,9984.45 ,6739.86 
2016-01,33532.25 ,9994.73 ,6762.73 
2016-02,34205.00 ,10035.55 ,6791.47 
2016-03,35200.00 ,10141.41 ,6835.04 
2016-04,35860.50 ,10324.55 ,6892.32 
2016-05,36523.75 ,10531.41 ,6943.35 
2016-06,37098.25 ,10701.59 ,6988.95 
2016-07,37835.00 ,10877.73 ,7041.03 
2016-08,38723.25 ,11086.91 ,7120.00 
2016-09,39784.50 ,11381.18 ,7220.47 
2016-10,40204.00 ,11605.36 ,7313.03 
2016-11,40441.00 ,11697.14 ,7359.35 
2016-12,40621.00 ,11776.86 ,7410.05 
2017-01,40696.50 ,11820.86 ,7445.65 
2017-02,40779.75 ,11855.91 ,7507.49 
2017-03,40945.00 ,11979.14 ,7611.30 
2017-04,41051.50 ,12083.95 ,7704.68 
2017-05,41061.25 ,12183.36 ,7801.28 
2017-06,41091.50 ,12272.95 ,7893.66 
2017-07,41133.25 ,12344.14 ,7990.38 
2017-08,41152.00 ,12432.00 ,8071.24 
2017-09,41172.75 ,12497.77 ,8146.50 
2017-10,41188.00 ,12547.68 ,8215.05 
2017-11,41194.25 ,12618.32 ,8282.07 
2017-12,41201.50 ,12684.14 ,8335.09 
2018-01,41204.75 ,12750.18 ,8404.51 
2018-02,41209.00 ,12803.27 ,8466.53 
2018-03,41220.25 ,12874.50 ,8533.51 
2018-04,41221.75 ,12950.59 ,8597.95 
2018-05,41229.25 ,13044.95 ,8670.38 
2018-06,41258.75 ,13127.18 ,8747.89 
2018-07,41274.00 ,13203.18 ,8815.14 
2018-08,41299.50 ,13311.59 ,8879.93 
2018-09,41330.25 ,13377.09 ,8940.64 
2018-10,41360.75 ,13457.36 ,8993.81 
2018-11,41335.75 ,13518.91 ,9031.07 
2018-12,41368.00 ,13582.00 ,9061.12 
2019-01,41418.75 ,13611.09 ,9109.43 
2019-02,41454.00 ,13618.59 ,9133.45 
2019-03,41451.50 ,13648.82 ,9171.27 
2019-04,41465.75 ,13684.27 ,9214.65 
2019-05,41455.25 ,13748.82 ,9247.54 
2019-06,41486.25 ,13858.82 ,9278.82 
2019-07,41615.75 ,13897.36 ,9314.19 
2019-08,41565.50 ,13984.09 ,9348.39 
2019-09,41621.00 ,14030.50 ,9394.82 
2019-10,41553.50 ,14069.55 ,9429.82 
2019-11,41570.50 ,14101.09 ,9446.86 
2019-12,41660.50 ,14157.45 ,9478.36 
2020-01,41699.75 ,14199.09 ,9497.01 
2020-02,41704.75 ,14144.73 ,9474.27 
2020-03,41741.25 ,14164.86 ,9486.38 
2020-04,41825.75 ,14189.55 ,9510.28 
2020-05,41950.00 ,14219.82 ,9527.18 
2020-06,42145.25 ,14285.82 ,9756.69 
2020-07,42284.50 ,14360.09 ,9793.07 
2020-08,42507.50 ,14432.59 ,9824.96 
2020-09,42469.00 ,14478.77 ,9852.76 
2020-10,42610.75 ,14519.73 ,9986.66 
2020-11,42681.25 ,14563.41 ,9895.74 
2020-12,42739.50 ,14608.59 ,9917.89 
2021-01,42854.75 ,14651.27 ,9937.85 
2021-02,42996.00 ,14681.82 ,9952.97 
2021-03,43099.00 ,14706.18 ,9968.88 
2021-04,43169.00 ,14743.45 ,9992.14 
2021-05,43285.75 ,14781.41 ,10020.81 
2021-06,43459.00 ,14823.68 ,10169.16 
2021-07,43574.00 ,14867.05 ,10067.03 
2021-08,43622.00 ,14905.95 ,10083.45 
2021-09,43635.00 ,14927.32 ,10093.36 
2021-10,43614.50 ,14939.50 ,10106.16 
2021-11,43573.00 ,14939.55 ,10103.82 
2021-12,43577.75 ,14943.64 ,10097.72 
